invoice_id,record_id,shipper_name,buyer_name,destination_city,volume_barrels,price_per_barrel_cad,total_value_cad,transport_mode,pipeline_tariff_per_bbl,invoice_date,payment_terms,wcs_discount_usd
TI00001,PR0080,Pengrowth Energy,Suncor Commerce City,Sarnia,24684,54.89,1354904.76,pipeline,11.88,2025-08-16,PREPAID,13.27
TI00002,PR0086,Canadian Natural Resources,Irving Oil,Sarnia,43547,51.87,2258782.89,truck,5.51,2025-12-13,PREPAID,12.43
TI00003,PR0111,Whitecap Resources,PBF Energy,Sarnia,20134,74.43,1498573.62,pipeline,8.61,2025-02-01,NET30,20.1
TI00004,PR0057,Athabasca Oil,PBF Energy,Saint John,4787,68.46,327718.02,rail,6.6,2025-06-05,PREPAID,14.69
TI00005,PR0040,Suncor Energy,Calumet Specialty,Saint John,47083,83.74,3942730.42,pipeline,3.79,2025-09-04,NET45,17.01
TI00006,PR0138,Husky Energy,Irving Oil,Wood River,35915,67.87,2437551.05,pipeline,10.67,2025-01-22,NET60,15.95
TI00007,PR0154,Baytex Energy,Irving Oil,Detroit,14251,78.33,1116280.83,truck,4.4,2025-07-11,NET30,20.2
TI00008,PR0136,Canadian Natural Resources,Irving Oil,Chicago,5839,77.94,455091.66,truck,9.51,2025-12-09,NET60,21.22
TI00009,PR0028,Pengrowth Energy,Midwest Refining LLC,Chicago,47843,49.09,2348612.87,pipeline,3.62,2025-07-23,PREPAID,16.65
TI00010,PR0128,Athabasca Oil,Calumet Specialty,Cushing,38005,51.15,1943955.75,pipeline,7.16,2025-09-20,PREPAID,11.32
TI00011,PR0075,Suncor Energy,PBF Energy,Philadelphia,38985,71.69,2794834.65,rail,2.51,2025-04-12,NET30,13.36
TI00012,PR0045,Imperial Oil,HollyFrontier,Montreal,30031,68.35,2052618.85,rail,8.92,2025-10-17,NET60,10.87
TI00013,PR0031,Imperial Oil,US Gulf Refinery Corp,Montreal,11284,49.18,554947.12,truck,5.92,2025-03-11,NET30,9.0
TI00014,PR0132,Husky Energy,Suncor Commerce City,Chicago,9760,66.59,649918.4,pipeline,7.2,2025-11-19,NET60,14.86
TI00015,PR0099,Suncor Energy,HollyFrontier,Chicago,43254,77.61,3356942.94,rail,9.0,2025-05-01,NET60,8.12
TI00016,PR0120,Husky Energy,Valero Energy,Philadelphia,7998,56.22,449647.56,pipeline,2.21,2025-01-13,NET45,18.82
TI00017,PR0198,Whitecap Resources,US Gulf Refinery Corp,Detroit,46346,76.51,3545932.46,pipeline,9.27,2025-04-03,NET60,20.08
TI00018,PR0032,Whitecap Resources,HollyFrontier,Toledo,18921,50.29,951537.09,pipeline,10.15,2025-03-23,PREPAID,13.96
TI00019,PR0028,Whitecap Resources,Suncor Commerce City,Wood River,37801,66.0,2494866.0,pipeline,7.81,2025-07-13,NET60,18.03
TI00020,PR0101,Imperial Oil,Midwest Refining LLC,Wood River,36834,78.1,2876735.4,pipeline,5.54,2025-02-02,NET30,13.85
TI00021,PR0132,MEG Energy,Valero Energy,Houston,11281,68.54,773199.74,pipeline,2.32,2025-12-14,PREPAID,8.15
TI00022,PR0131,Baytex Energy,HollyFrontier,Montreal,22789,61.51,1401751.39,pipeline,6.16,2025-03-21,PREPAID,9.57
TI00023,PR0155,Baytex Energy,PBF Energy,Chicago,4330,46.36,200738.8,pipeline,9.1,2025-10-12,NET30,8.99
TI00024,PR0181,Whitecap Resources,HollyFrontier,Montreal,16920,54.03,914187.6,rail,5.6,2025-12-07,NET60,19.63
TI00025,PR0106,Imperial Oil,HollyFrontier,Saint John,18105,58.8,1064574.0,pipeline,7.23,2025-02-06,PREPAID,14.06
TI00026,PR0090,Imperial Oil,Phillips 66,Philadelphia,4479,55.42,248226.18,pipeline,10.49,2025-09-14,NET30,11.06
TI00027,PR0010,Imperial Oil,Irving Oil,Saint John,3459,49.88,172534.92,truck,9.53,2025-07-15,NET60,20.61
TI00028,PR0197,Athabasca Oil,US Gulf Refinery Corp,Philadelphia,17845,64.5,1151002.5,rail,2.3,2025-03-17,NET60,15.99
TI00029,PR0198,Imperial Oil,US Gulf Refinery Corp,Detroit,22492,67.75,1523833.0,rail,5.95,2025-04-19,NET60,19.81
TI00030,PR0016,Canadian Natural Resources,Midwest Refining LLC,Chicago,20577,74.61,1535249.97,rail,5.68,2025-05-19,NET30,11.76
TI00031,PR0022,Pengrowth Energy,Midwest Refining LLC,Cushing,28711,71.85,2062885.35,pipeline,9.51,2025-01-22,NET60,13.48
TI00032,PR0051,Canadian Natural Resources,PBF Energy,Toledo,16679,49.99,833783.21,rail,8.4,2025-02-04,NET30,11.85
TI00033,PR0055,Canadian Natural Resources,HollyFrontier,Wood River,18147,58.33,1058514.51,truck,7.99,2025-01-11,NET60,13.74
TI00034,PR0093,Baytex Energy,Irving Oil,Montreal,3618,77.99,282167.82,pipeline,9.77,2025-05-04,NET45,16.74
TI00035,PR0146,Husky Energy,Suncor Commerce City,Philadelphia,18803,66.31,1246826.93,pipeline,3.06,2025-10-06,NET45,14.28
