report_id,facility_id,inspection_date,inspector_id,inspection_type,findings_text,compliance_score,outcome,penalty_amount_cad
AER0001,F002,2025-10-22,AER-INSP665,comprehensive,Routine compliance inspection of Scotford Upgrader sulphur recovery unit. Stack testing results reviewed. SO2 recovery rate: 99.2% (requirement: 98.5%). Opacity readings within limits. Continuous emission monitoring system (CEMS) calibration records current. No deficiencies.,87,compliant,0
AER0002,F003,2025-05-10,AER-INSP795,random,Targeted inspection of Christina Lake SAGD well integrity program. Reviewed casing pressure monitoring records for 156 active well pairs. 4 wells showing elevated casing pressure requiring investigation. Directive 020 compliance assessment: 2 wells non-compliant. Compliance deadline issued.,98,minor_non_compliance,0
AER0003,F002,2025-03-24,AER-INSP628,routine,Random field inspection of Horizon Oil Sands mine haul road dust suppression. PM10 levels at boundary: compliant. Water application records reviewed. Two sections of haul road below application frequency target. Minor non-compliance documented. Corrective action required within 30 days.,76,compliant,0
AER0004,F001,2025-05-11,AER-INSP478,routine,Referred inspection: Kearl Lake Operations tailings dam stability. Annual dam safety review submitted and approved. Piezometer readings within design parameters. Factor of safety: 1.5 (minimum 1.3). Beach width adequate. Geotechnical monitoring instrumentation functional and calibrated.,84,action_required,0
AER0005,F005,2025-08-17,AER-INSP313,targeted,Targeted audit of TC Energy Keystone Terminal emergency response plan. Notification lists current. Equipment inventory verified. Response time drill records reviewed — last drill 4 months ago (requirement: annual). Compliant. Minor: one emergency contact number outdated.,84,non_compliance,0
AER0006,F003,2025-07-22,AER-INSP852,random,Routine inspection of Pembina Peace Pipeline cathodic protection system. 47 test stations measured. All within -850mV to -1200mV criteria. Rectifier output records current. One test station inaccessible due to landowner access issue. Follow-up scheduled.,77,minor_non_compliance,0
AER0007,F001,2025-07-25,AER-INSP351,routine,Comprehensive audit of CNRL Horizon water management. Athabasca River withdrawal records reviewed against Water Act licence. All seasonal limits respected. Recycled water metrics verified. Minor discrepancy in monthly reporting format — corrected during inspection.,88,compliant,0
AER0008,F001,2025-10-15,AER-INSP375,comprehensive,Targeted inspection: Christina Lake SAGD steam generation emissions. CEMS data reviewed for 90-day period. Two 24-hour NOx exceedances identified but properly reported. Adaptive management response documented. Facility operating within approval conditions overall.,92,compliant,77321.52
AER0009,F001,2025-10-20,AER-INSP113,referred,Random inspection of abandoned well site near Turner Valley. Wellhead secure. No evidence of surface expression. Surface casing vent flow measured: zero. Downhole isolation confirmed by historical records. Site meets suspension criteria per Directive 013.,99,minor_non_compliance,0
AER0010,F004,2025-12-05,AER-INSP865,routine,Field inspection of Alliance Pipeline emergency valve station EV-23 near Whitecourt. Valve operable. Fencing intact. Signage current. Telemetry system functional. Cathodic protection readings satisfactory. Minor vegetation encroachment on access road noted.,71,action_required,60445.78
AER0011,F001,2025-04-23,AER-INSP739,referred,Audit of Cenovus Christina Lake greenhouse gas reporting. Production volumes cross-referenced with TIER submission. Methodology consistent with Specified Gas Reporting Regulation. Emission factors applied correctly. Offset credits verified. No discrepancies identified.,80,non_compliance,0
AER0012,F004,2025-05-16,AER-INSP211,random,Targeted inspection following complaint: Keystone Terminal Calgary odour investigation. H2S and total reduced sulphur monitoring conducted over 72 hours. Maximum reading: 1.2 ppb TRS (odour threshold: ~1 ppb). Source identified as tank venting during maintenance. Vapour recovery recommended.,70,compliant,0
