report_id,facility_id,report_date,report_type,location_description,report_text,recommended_actions,status
ER0001,F002,2025-12-28,noise,Athabasca River watershed,Air quality monitoring report: Scotford Upgrader fence-line monitoring station FS-03 recorded elevated SO2 levels of 172 ppb (1-hour average) during coker unit startup. Alberta Ambient Air Quality Objective is 172 ppb. At threshold but not exceeded. Startup procedures reviewed.,Conduct additional assessment,open
ER0002,F005,2025-11-07,reclamation,Hardisty terminal area,Tailings management report: Kearl Lake Operations fluid fine tailings (FFT) volume reduced by 8% through centrifuge treated tailings technology. Performance exceeds AER Directive 085 trajectory. Current FFT inventory: 42 million cubic meters. Deposit meets strength criteria.,Conduct additional assessment,under_review
ER0003,F001,2025-08-15,emissions,Kearl Lake site,Groundwater monitoring report: Christina Lake SAGD quarterly sampling results show all parameters within baseline at perimeter wells. No caprock breach indicators detected. Chloride levels stable. Next quarterly sampling scheduled per AER approval conditions.,Enhance mitigation measures,open
ER0004,F005,2025-10-25,water,Kearl Lake site,Land reclamation progress report: Horizon Oil Sands certified 45 hectares of reclaimed land in 2025. Total certified to date: 890 hectares. Revegetation survival rates exceeding 85% at 5-year monitoring plots. Soil capability assessments meeting criteria for equivalent land capability.,Conduct additional assessment,closed
ER0005,F004,2025-06-21,biodiversity,Kearl Lake site,"Emissions inventory report: TC Energy Keystone Terminal Calgary annual greenhouse gas emissions calculated at 125,000 tonnes CO2e. Decrease of 4% from prior year due to compressor efficiency upgrades. Below TIER facility-specific benchmark. Carbon offset obligation: nil.",Continue monitoring per approval conditions,closed
ER0006,F002,2025-10-10,tailings,Calgary region,Water withdrawal report: Horizon Oil Sands Athabasca River withdrawal within seasonal allocation. Summer maximum of 2.8 m3/s (allocation: 3.4 m3/s). Low-flow cutback triggered for 12 days in August. Recycled water percentage: 88%. Targets met per Water Act licence.,Review and update procedures,closed
ER0007,F004,2025-07-13,reclamation,North Saskatchewan corridor,"Biodiversity monitoring: Kearl Lake Operations breeding bird survey documented 47 species in reclaimed areas vs 52 in reference sites. Four species at risk detected (olive-sided flycatcher, common nighthawk). Adaptive management triggers not reached. Annual monitoring continues.",Continue monitoring per approval conditions,closed
ER0008,F004,2025-09-01,reclamation,Industrial Heartland airshed,"Fugitive emissions report: Christina Lake SAGD LDAR survey detected 23 leaks during quarterly inspection. All repaired within 15 days per AER Directive 060 requirements. Estimated methane reduction: 450 tonnes CO2e. Component count: 34,000 screened.",Continue monitoring per approval conditions,closed
ER0009,F003,2025-03-12,air_quality,Hardisty terminal area,Pipeline integrity report: Alliance Pipeline annual integrity assessment. 12 inline inspections completed. 3 anomalies requiring excavation identified. All anomalies confirmed below critical threshold. Remaining life calculations exceed minimum 5-year requirement. CER conditions met.,Implement engineering controls,under_review
ER0010,F002,2025-03-14,emissions,Fort McMurray region,Noise assessment report: Keystone Terminal Calgary annual noise monitoring. All measurement locations within AER Directive 038 permissible sound levels. Nighttime readings at nearest residence: 38 dBA (limit: 40 dBA). No noise complaints received during monitoring period.,Enhance mitigation measures,closed
ER0011,F005,2025-08-21,pipeline_integrity,Christina Lake area,Surface water quality report: Scotford Upgrader cooling water discharge to North Saskatchewan River meets all Alberta Surface Water Quality Guidelines. Temperature differential: 2.1C (limit: 3C). No acute or chronic toxicity detected in bioassay testing.,Conduct additional assessment,closed
ER0012,F002,2025-07-28,noise,Scotford Industrial Heartland,Caribou habitat monitoring: Christina Lake SAGD linear disturbance within caribou range assessed at 72% (threshold: 65%). Habitat restoration activities underway on 40km of legacy seismic lines. AER caribou range plan compliance submission prepared.,Continue monitoring per approval conditions,open
ER0013,F003,2025-03-19,noise,Peace River region,Acid deposition monitoring: Regional air monitoring within Industrial Heartland shows nitrogen deposition at 85% of critical load. Collaborative monitoring with CASA and AEMERA continues. No exceedance of Alberta acid deposition management framework triggers.,Continue monitoring per approval conditions,closed
ER0014,F004,2025-12-26,groundwater,Christina Lake area,Methane reduction report: Cenovus Christina Lake operations achieved 42% reduction in methane emissions from 2020 baseline. Conversion of 28 pneumatic devices to instrument air. Vapour recovery unit installed at tank battery. On track for 2030 target of 75% reduction.,Enhance mitigation measures,closed
ER0015,F001,2025-10-05,groundwater,Hardisty terminal area,Wetland compensation report: Kearl Lake Operations salvaged 12 hectares of peatland for transplant to reclaimed areas. Hydrological monitoring shows water table within target range at 8 of 10 plots. Two plots requiring supplemental water management. Long-term trajectory positive.,Submit updated management plan to AER,closed
ER0016,F005,2025-04-02,noise,Athabasca River watershed,Emergency response drill report: Scotford Upgrader full-scale spill response exercise conducted jointly with local emergency services. Scenario: pipeline rupture with crude release to watercourse. 86 responders participated. Boom deployment within 45 minutes. Communication protocol met targets.,Conduct additional assessment,open
ER0017,F003,2025-06-09,tailings,Hardisty terminal area,Air monitoring network report: Fort McMurray region continuous monitoring shows annual PM2.5 averaging 6.8 ug/m3 (AAAQO: 8.8 ug/m3). Ozone 4th-highest daily max: 58 ppb (objective: 62 ppb). All parameters in attainment. Wood Buffalo Environmental Association data quality assured.,Enhance mitigation measures,closed
ER0018,F004,2025-10-07,tailings,Industrial Heartland airshed,Closure plan update: Horizon Oil Sands updated mine closure plan submitted to AER per requirement. Total estimated closure costs: $4.2 billion. Mine closure security deposit current. Conceptual closure includes pit lake formation with 35-year fill trajectory.,Submit updated management plan to AER,under_review
ER0019,F002,2025-04-09,air_quality,Scotford Industrial Heartland,Produced water management report: Christina Lake SAGD water recycling rate maintained at 94%. Total water usage intensity: 0.15 m3/m3 bitumen produced. Zero fresh water for steam generation. Disposal well capacity adequate for 5-year forecast.,Review and update procedures,closed
ER0020,F005,2025-12-15,air_quality,Athabasca River watershed,Ecosystem risk assessment: Keystone Terminal Calgary expanded environmental monitoring program. Soil vapour monitoring installed at 8 locations. No hydrocarbon impacts detected at facility boundary. Stormwater management pond meets Alberta Environment discharge criteria.,Enhance mitigation measures,closed
